来源,代码,名称,T-1溢价率,申购状态
欧美市场,162415,美国消费LOF,1.09,限100
欧美市场,160644,港美互联网LOF,0.69,限10万
欧美市场,161127,标普生物科技LOF,0.59,限100
欧美市场,501300,美元债LOF,0.5,限5万
商品市场,501018,南方原油LOF,0.79,限100
亚洲市场,162415,美国消费LOF,1.09,限100
亚洲市场,160644,港美互联网LOF,0.69,限10万
亚洲市场,161127,标普生物科技LOF,0.59,限100
亚洲市场,501300,美元债LOF,0.5,限5万
