来源,代码,名称,现价,涨幅,成交 (万元),场内份额 (万份),场内新增 (万份),T-2净值,净值日期,T-1估值,估值日期,T-1溢价率,实时估值,实时溢价率,相关标的,T-1指数涨幅,申购费,申购状态,赎回费,赎回状态,管托费,基金公司,操作,相关标的/业绩比较
欧美市场,159529,标普消费ETF,1.619,3.98%,167925.53,40354,0,1.2424,25-05-12,1.2459,25-05-13,29.95%,-,-,标普500消费精选指数,0.38%,-,开放申购,-,开放赎回,0.70%,景顺长城,,
欧美市场,159612,标普500ETF,1.893,1.34%,139063.11,34690,0,1.5621,25-05-12,1.5718,25-05-13,20.44%,会员,会员,标普500,0.72%,0.50%,暂停申购,0.5%,开放赎回,0.75%,国泰基金,,
欧美市场,513030,德国ETF,1.857,0.60%,40920.8,72978,0,1.7838,25-05-12,1.7661,25-05-13,5.15%,会员,会员,德国DAX,0.31%,-,暂停申购,-,开放赎回,1.00%,华安基金,,
欧美市场,159509,纳指科技ETF,1.537,3.71%,152005.85,633656,100,1.446,25-05-12,1.4794,25-05-13,3.89%,-,-,纳斯达克科技市值加权,2.41%,-,开放申购,-,开放赎回,1.00%,景顺长城,,
欧美市场,513730,东南亚科技ETF,1.233,1.57%,8454.3,143336,-3800,1.1932,25-05-12,-,25-05-12,-,-,-,新交所泛东南亚科技指数,-,-,开放申购,-,开放赎回,0.50%,华泰柏瑞,,
欧美市场,159941,纳指ETF,1.178,2.52%,147488.39,2180911,130,1.1335,25-05-12,1.1503,25-05-13,2.41%,会员,会员,纳斯达克100,1.58%,-,开放申购,-,开放赎回,1.00%,广发基金,,
欧美市场,159822,新经济ETF,0.699,4.48%,51155.45,59313,-2000,0.6829,25-05-12,-,25-05-12,-,-,-,标普中国新经济行业指数,-,-,开放申购,-,开放赎回,0.35%,银华基金,,
欧美市场,513100,纳指ETF,1.56,2.50%,104063.75,949911,0,1.507,25-05-12,1.5293,25-05-13,2.01%,会员,会员,纳斯达克100,1.58%,0.50%,暂停申购,0.50%,开放赎回,0.80%,国泰基金,,
欧美市场,513050,中概互联网ETF,1.44,2.06%,264808.01,2456743,-30100,1.4532,25-05-12,1.4125,25-05-13,1.95%,-,-,中国互联网50,-2.70%,0.50%,开放申购,0.50%,开放赎回,0.80%,易方达,,
欧美市场,513220,中概互联ETF,1.276,1.92%,7584.55,21811,100,1.2861,25-05-12,1.2561,25-05-13,1.58%,-,-,中证全球中国互联网指数,-2.33%,-,开放申购,-,开放赎回,0.65%,招商基金,,
欧美市场,162415,美国消费LOF,2.869,1.52%,14282.04,14512,-9,2.795,25-05-12,2.8271,25-05-13,1.48%,-,-,标普可选消费品精选版块指数,1.31%,1.20%,限100,1.50%,开放赎回,1.20%,华宝基金,,
欧美市场,513300,纳斯达克ETF,1.936,2.60%,90149.97,459817,3750,1.8814,25-05-12,1.9092,25-05-13,1.40%,会员,会员,纳斯达克100,1.58%,0.50%,开放申购,0.50%,开放赎回,0.80%,华夏基金,,
欧美市场,159605,中概互联ETF,1.091,2.06%,61071.99,457449,0,1.1025,25-05-12,1.0763,25-05-13,1.37%,-,-,中证海外中国互联网30指数,-2.28%,-,开放申购,-,开放赎回,0.60%,广发基金,,
