来源,代码,名称,现价,涨幅,成交 (万元),场内份额 (万份),场内新增 (万份),T-2净值,净值日期,T-1估值,估值日期,T-1溢价率,实时估值,实时溢价率,相关标的,T-1指数涨幅,申购费,申购状态,赎回费,赎回状态,管托费,基金公司,操作,相关标的/业绩比较
欧美市场,164906,中概互联网LOF,1.22,1.92%,1466.79,99994,-126,1.2328,25-05-12,1.2146,25-05-13,0.44%,-,-,中证海外中国互联网指数,-1.45%,1.20%,开放申购,1.50%,开放赎回,1.40%,交银施罗德,,
欧美市场,513500,标普500ETF,2.01,1.67%,37349.47,932164,4400,1.9893,25-05-12,2.0016,25-05-13,0.42%,会员,会员,标普500,0.72%,0.50%,开放申购,0.50%,开放赎回,0.80%,博时基金,,
欧美市场,159501,纳斯达克指数ETF,1.439,2.64%,36348.85,549899,3000,1.412,25-05-12,1.4329,25-05-13,0.43%,会员,会员,纳斯达克100,1.58%,0.50%,开放申购,0.5%,开放赎回,0.60%,嘉实基金,,
欧美市场,159577,美国50ETF,1.221,2.01%,6127.16,93067,0,1.2043,25-05-12,1.2166,25-05-13,0.36%,-,-,美国50,1.12%,-,暂停申购,-,开放赎回,0.65%,汇添富,,
欧美市场,513400,道琼斯ETF,1.097,0.18%,8120.79,158806,-3600,1.1012,25-05-12,1.0931,25-05-13,0.36%,会员,会员,道琼斯工业平均指数,-0.64%,-,开放申购,-,开放赎回,0.65%,鹏华基金,,
欧美市场,513110,纳斯达克100ETF,1.769,2.55%,16061.38,239744,1000,1.7372,25-05-12,1.7629,25-05-13,0.35%,会员,会员,纳斯达克100,1.58%,0.50%,开放申购,0.50%,开放赎回,1.00%,华泰柏瑞,,
欧美市场,513850,美国50ETF,1.357,2.18%,13938.69,167289,-800,1.3385,25-05-12,1.3522,25-05-13,0.35%,-,-,美国50,1.12%,-,开放申购,-,开放赎回,0.60%,易方达,,
欧美市场,513390,纳指100ETF,1.718,2.57%,13194.86,165938,1800,1.6872,25-05-12,1.7122,25-05-13,0.34%,会员,会员,纳斯达克100,1.58%,-,开放申购,-,开放赎回,0.65%,博时基金,,
欧美市场,159696,纳指ETF易方达,1.422,2.67%,24025.46,224282,500,1.3967,25-05-12,1.4174,25-05-13,0.32%,会员,会员,纳斯达克100,1.58%,-,开放申购,-,开放赎回,0.60%,易方达,,
欧美市场,513650,标普500ETF基金,1.527,1.46%,6901.2,233073,0,1.5145,25-05-12,1.5234,25-05-13,0.24%,会员,会员,标普500,0.72%,-,开放申购,-,开放赎回,0.75%,南方基金,,
欧美市场,159655,标普ETF,1.541,1.52%,21437.47,218414,2800,1.5299,25-05-12,1.5394,25-05-13,0.10%,会员,会员,标普500,0.72%,0.50%,开放申购,0.50%,开放赎回,0.75%,华夏基金,,
