来源,代码,名称,现价,涨幅,成交 (万元),场内份额 (万份),场内新增 (万份),T-2净值,净值日期,T-1估值,估值日期,T-1溢价率,实时估值,实时溢价率,相关标的,T-1指数涨幅,申购费,申购状态,赎回费,赎回状态,管托费,基金公司,操作,相关标的/业绩比较
欧美市场,159529,标普消费ETF,1.618,3.92%,167813.91,40354,0,1.2424,25-05-12,1.2459,25-05-13,29.87%,-,-,标普500消费精选指数,0.38%,-,开放申购,-,开放赎回,0.70%,景顺长城,,
欧美市场,159612,标普500ETF,1.891,1.23%,138990.93,34690,0,1.5621,25-05-12,1.5718,25-05-13,20.31%,会员,会员,标普500,0.72%,0.50%,暂停申购,0.5%,开放赎回,0.75%,国泰基金,,
欧美市场,513030,德国ETF,1.857,0.60%,40888.79,72978,0,1.7838,25-05-12,1.7661,25-05-13,5.15%,会员,会员,德国DAX,0.31%,-,暂停申购,-,开放赎回,1.00%,华安基金,,
欧美市场,159509,纳指科技ETF,1.537,3.71%,151960.24,633656,100,1.446,25-05-12,1.4794,25-05-13,3.89%,-,-,纳斯达克科技市值加权,2.41%,-,开放申购,-,开放赎回,1.00%,景顺长城,,
欧美市场,513730,东南亚科技ETF,1.233,1.57%,8453.24,143336,-3800,1.1932,25-05-12,-,25-05-12,-,-,-,新交所泛东南亚科技指数,-,-,开放申购,-,开放赎回,0.50%,华泰柏瑞,,
欧美市场,159941,纳指ETF,1.178,2.52%,147463.6,2180911,130,1.1335,25-05-12,1.1503,25-05-13,2.41%,会员,会员,纳斯达克100,1.58%,-,开放申购,-,开放赎回,1.00%,广发基金,,
欧美市场,159822,新经济ETF,0.698,4.33%,49955.8,59313,-2000,0.6829,25-05-12,-,25-05-12,-,-,-,标普中国新经济行业指数,-,-,开放申购,-,开放赎回,0.35%,银华基金,,
欧美市场,513050,中概互联网ETF,1.44,2.06%,263764.27,2456743,-30100,1.4532,25-05-12,1.4125,25-05-13,1.95%,-,-,中国互联网50,-2.70%,0.50%,开放申购,0.50%,开放赎回,0.80%,易方达,,
欧美市场,513100,纳指ETF,1.559,2.43%,103746.17,949911,0,1.507,25-05-12,1.5293,25-05-13,1.94%,会员,会员,纳斯达克100,1.58%,0.50%,暂停申购,0.50%,开放赎回,0.80%,国泰基金,,
欧美市场,513220,中概互联ETF,1.277,2.00%,7533.62,21811,100,1.2861,25-05-12,1.2561,25-05-13,1.66%,-,-,中证全球中国互联网指数,-2.33%,-,开放申购,-,开放赎回,0.65%,招商基金,,
