来源,代码,名称,现价,涨幅,成交 (万元),场内份额 (万份),场内新增 (万份),T-2净值,净值日期,T-1估值,估值日期,T-1溢价率,实时估值,实时溢价率,相关标的,T-1指数涨幅,申购费,申购状态,赎回费,赎回状态,管托费,基金公司,操作,相关标的/业绩比较
欧美市场,159529,标普消费ETF,1.557,10.04%,301502.93,40354,0,1.2424,25-05-12,1.2448,25-05-12,25.08%,-,-,标普500消费精选指数,2.91%,-,开放申购,-,开放赎回,0.70%,景顺长城,,
欧美市场,159612,标普500ETF,1.868,10.01%,364939.54,34690,0,1.5621,25-05-12,1.5619,25-05-12,19.60%,会员,会员,标普500,3.26%,0.50%,暂停申购,0.5%,开放赎回,0.75%,国泰基金,,
欧美市场,513030,德国ETF,1.846,-2.84%,63226.85,72978,0,1.7838,25-05-12,1.7841,25-05-12,3.47%,会员,会员,德国DAX,0.29%,-,暂停申购,-,开放赎回,1.00%,华安基金,,
欧美市场,159509,纳指科技ETF,1.482,1.16%,100490.52,633556,100,1.446,25-05-12,1.4498,25-05-12,2.22%,-,-,纳斯达克科技市值加权,4.92%,-,开放申购,-,开放赎回,1.00%,景顺长城,,
欧美市场,513730,东南亚科技ETF,1.214,-0.25%,9874.96,147136,0,1.1932,25-05-12,-,25-05-09,-,-,-,新交所泛东南亚科技指数,-,-,开放申购,-,开放赎回,0.50%,华泰柏瑞,,
欧美市场,159941,纳指ETF,1.149,0.88%,119961.48,2180781,130,1.1335,25-05-12,1.1340,25-05-12,1.32%,会员,会员,纳斯达克100,4.02%,-,开放申购,-,开放赎回,1.00%,广发基金,,
欧美市场,159822,新经济ETF,0.669,0.45%,16010.32,61313,-2000,0.6829,25-05-12,-,25-05-09,-,-,-,标普中国新经济行业指数,-,-,开放申购,-,开放赎回,0.35%,银华基金,,
欧美市场,162415,美国消费LOF,2.826,1.55%,37845.75,14521,1,2.795,25-05-12,2.7947,25-05-12,1.12%,-,-,标普可选消费品精选版块指数,5.04%,1.20%,限100,1.50%,开放赎回,1.20%,华宝基金,,
欧美市场,513100,纳指ETF,1.522,0.40%,96411.11,949911,0,1.507,25-05-12,1.5067,25-05-12,1.02%,会员,会员,纳斯达克100,4.02%,0.50%,暂停申购,0.50%,开放赎回,0.80%,国泰基金,,
欧美市场,520580,新兴亚洲ETF,1.016,0.00%,7502.59,49198,0,1.0056,25-05-12,-,25-05-09,-,-,-,新交所新兴亚洲精选50指数,-,-,暂停申购,-,暂停赎回,0.50%,招商基金,,
欧美市场,513360,教育ETF,0.518,1.97%,24622.59,123571,-1800,0.5171,25-05-12,0.5160,25-05-12,0.39%,-,-,中证全球中国教育主题指数,2.61%,0.50%,开放申购,0.50%,开放赎回,0.65%,博时基金,,
欧美市场,501300,美元债LOF,0.967,-0.10%,2278.3,85231,28,0.963,25-05-12,0.9634,25-05-12,0.37%,-,-,美国债券综合指数,-0.34%,0.80%,限5万,1.50%,开放赎回,0.80%,海富通,,
欧美市场,159660,纳指100ETF,1.644,0.80%,17633.56,176415,0,1.6426,25-05-12,1.6427,25-05-12,0.08%,会员,会员,纳斯达克100,4.02%,-,暂停申购,-,开放赎回,0.65%,汇添富,,
欧美市场,159632,纳斯达克ETF,1.711,0.59%,30572.65,537772,0,1.7095,25-05-12,1.7098,25-05-12,0.07%,会员,会员,纳斯达克100,4.02%,-,暂停申购,-,开放赎回,0.80%,华安基金,,
欧美市场,513300,纳斯达克ETF,1.887,0.27%,100007.54,456067,3750,1.8814,25-05-12,1.8889,25-05-12,-0.10%,会员,会员,纳斯达克100,4.02%,0.50%,开放申购,0.50%,开放赎回,0.80%,华夏基金,,
欧美市场,159561,德国ETF,1.3,-2.03%,33102.58,110650,2000,1.3015,25-05-12,1.3018,25-05-12,-0.14%,会员,会员,德国DAX,0.29%,-,开放申购,-,开放赎回,0.60%,嘉实基金,,
欧美市场,159513,纳斯达克100指数ETF,1.263,1.04%,8291.36,469455,-300,1.2649,25-05-12,1.2650,25-05-12,-0.16%,会员,会员,纳斯达克100,4.02%,-,开放申购,-,开放赎回,1.00%,大成基金,,
欧美市场,159518,标普油气ETF,0.87,1.28%,22565.42,110133,0,0.8724,25-05-12,0.8724,25-05-12,-0.28%,-,-,标普石油天然气勘探及生产,3.69%,0.50%,开放申购,0.5%,开放赎回,0.60%,嘉实基金,,
欧美市场,513290,纳指生物科技ETF,1.069,2.59%,15320.7,113507,0,1.0721,25-05-12,1.0728,25-05-12,-0.35%,-,-,纳斯达克生物科技,4.23%,-,暂停申购,-,开放赎回,0.65%,汇添富,,
